Car Model,VIN Number
Mercedes-Benz C-Class,5ZC7FP1CELU542056
Nissan Altima,THM35QS7GNW787602
Mazda CX-5,FCJBK973DHT960860
Mercedes-Benz C-Class,FBKNVQPO3P8916909
Subaru Outback,3BV3J0SX765828596
Hyundai Elantra,KXAAA66Z49K588982
Toyota Camry,LKNZM5U782A364319
Subaru Outback,DLDMEC1HJTJ357517
Honda Accord,1TW2ZQDESAS678424
BMW 3 Series,DFUJL033LLU546604
Mazda CX-5,KBTBNV01AYK113631
BMW 3 Series,UKAR97F5FTE400236
Ford Mustang,PXH6QA41EYL676540
Nissan Altima,XPH52B0UNEB437989
Toyota Camry,6VBH7XD5361950961
Honda Accord,BCK7BFM186V025443
Toyota Camry,NGCDQU8TCBH013582
Hyundai Elantra,MYUMYC7WGGW452143
Nissan Altima,2DLXV2IWY9C152840
Chevrolet Malibu,WLT7C5ZYGJ2677014
Tesla Model 3,SEZMA23JEEV603333
Chevrolet Malibu,7HZLOUECY77023338
Ford Mustang,EACCV04X7MP508806
Volkswagen Passat,HDLIG8PLJ5H448877
Volvo XC60,7AE84SZLWLV066186
Mazda CX-5,2LK4YMPS2V7870949
Volkswagen Passat,UPSPI6HBD4H026245
Honda Accord,2SB94ZQISJ2443272
Jeep Grand Cherokee,5LTWF1ATPS1936453
Hyundai Elantra,UXSRUI1IX3J907404
Toyota Camry,8UYTQJ15VWC113373
Audi A4,WPV5NWNKDTF127246
Honda Accord,BDG4ALZVG41730745
Audi A4,8GU39PJAVJB214828
Honda Accord,MRY2DZ4KKA3514007
Hyundai Elantra,JUGZDN58D74815002
Audi A4,RFJ9H2WT9BL296152
Chevrolet Malibu,YDJ3FHZ2456045436
Volkswagen Passat,DLE32IGN2YG385094
Subaru Outback,LZJJCNE7K7R802802
Audi A4,GVKSWQ6YPXN978357
Chevrolet Malibu,TAEKL9PASR1939533
Tesla Model 3,KRA53P9069G061753
Mazda CX-5,MAPFAWVQJS6309587
Kia Optima,SNU4I9DABNF109573
Mercedes-Benz C-Class,TUNH1LL5CEC932197
BMW 3 Series,1CKUDTGA622213110
Ford Mustang,7AK647OI7VL621962
Audi A4,MRXQBMNKKVR522563
Subaru Outback,SBVXIO80ETH147399
Chevrolet Malibu,2WTZN06C5KG541781
Subaru Outback,PBLSFJ9BM86119229
Mercedes-Benz C-Class,MCRA88PC165768280
Nissan Altima,HSUL9LP272Z278966
Volvo XC60,SNN51Q1BWHD357318
Nissan Altima,ASFP9RTTH78901944
Toyota Camry,9RPO7QXTA7L694205
Volvo XC60,SASPYZ1VN6C771222
Nissan Altima,SYJ7QY321E8980730
Volkswagen Passat,3NY94IFO1DX053398
Kia Optima,XSH13K1VE7U204655
Jeep Grand Cherokee,FHCS6KW7X8G265532
Audi A4,ALW8BWGBE67225290
Mazda CX-5,JBXO5FAV1BJ655045
Audi A4,AHEI0MK244D469824
Hyundai Elantra,4HEPE3WQ3YU739639
Audi A4,MMZX55XE5D4813717
Audi A4,GHA70YVWXXV695806
Tesla Model 3,DJJR8HJQMXR693693
Nissan Altima,YLYJWUYQX7D910296
Volkswagen Passat,MYA9FT6NPYK247121
Chevrolet Malibu,UKS18Z4EEBR422273
Nissan Altima,2EFSWQ2O7JR521017
BMW 3 Series,YGEGFL7PRPC815346
Subaru Outback,4ZPZK8PP8JN087869
Kia Optima,GUMPLZX49CM298399
Kia Optima,ACKMBQ4OATG983747
Kia Optima,PRU8B33WY9C231659
Mercedes-Benz C-Class,SMZNIOXN4XL768724
Kia Optima,5CPEGA6XHTM593640
Toyota Camry,LFXIQEKO7RT744988
Ford Mustang,4YFZ6GQG8J4377799
Honda Accord,KVDNY5XB9K9517682
Mercedes-Benz C-Class,PEA3LYMA5NT374320
Subaru Outback,DTLINMVSCJ3155381
Volvo XC60,TLWRYX5DASL560718
Volkswagen Passat,YUABR2EQ89P306883
Kia Optima,1JYLJ7XREDN571506
Chevrolet Malibu,TSKKJC9XA7D645571
Mazda CX-5,2FZEQW3DZHL931338
Honda Accord,7AU7S32NCV7009385
Volvo XC60,BCXQ7T6BJ9M105630
BMW 3 Series,MYDVSEUZTRE522431
Tesla Model 3,SCCH3BLA1AH159181
Chevrolet Malibu,LGHPUSK5WA3153140
Ford Mustang,EMN18GCYN42094594
Tesla Model 3,BUCX5JQ3T89910721
Hyundai Elantra,JZR1ANYV5DF648830
BMW 3 Series,HVW3HAB6362775405
Volkswagen Passat,2FC1Q93TXT8194177
