Car Model,VIN Number
Mercedes-Benz C-Class,MRXQBMNKKVR522563
Subaru Outback,SBVXIO80ETH147399
Chevrolet Malibu,2WTZN06C5KG541781
Subaru Outback,PBLSFJ9BM86119229
Mercedes-Benz C-Class,MCRA88PC165768280
Nissan Altima,HSUL9LP272Z278966
Volvo XC60,SNN51Q1BWHD357318
Toyota Camry,9RPO7QXTA7L694205
Volvo XC60,SASPYZ1VN6C771222
Nissan Altima,SYJ7QY321E8980730
Volkswagen Passat,3NY94IFO1DX053398
Kia Optima,XSH13K1VE7U204655
Jeep Grand Cherokee,FHCS6KW7X8G265532
Audi A4,ALW8BWGBE67225290
Mazda CX-5,JBXO5FAV1BJ655045
Audi A4,AHEI0MK244D469824
Hyundai Elantra,4HEPE3WQ3YU739639
Audi A4,MMZX55XE5D4813717
Audi A4,GHA70YVWXXV695806
Tesla Model 3,DJJR8HJQMXR693693
Nissan Altima,YLYJWUYQX7D910296
Volkswagen Passat,MYA9FT6NPYK247121
Chevrolet Malibu,UKS18Z4EEBR422273
Nissan Altima,2EFSWQ2O7JR521017
BMW 3 Series,YGEGFL7PRPC815346
Subaru Outback,4ZPZK8PP8JN087869
Kia Optima,GUMPLZX49CM298399
Kia Optima,ACKMBQ4OATG983747
Kia Optima,PRU8B33WY9C231659
Mercedes-Benz C-Class,SMZNIOXN4XL768724
Kia Optima,5CPEGA6XHTM593640
Toyota Camry,LFXIQEKO7RT744988
Ford Mustang,4YFZ6GQG8J4377799
Honda Accord,KVDNY5XB9K9517682
Mercedes-Benz C-Class,PEA3LYMA5NT374320
Subaru Outback,DTLINMVSCJ3155381
Volvo XC60,TLWRYX5DASL560718
Volkswagen Passat,YUABR2EQ89P306883
Kia Optima,1JYLJ7XREDN571506
Chevrolet Malibu,TSKKJC9XA7D645571
Mazda CX-5,2FZEQW3DZHL931338
Honda Accord,7AU7S32NCV7009385
Volvo XC60,BCXQ7T6BJ9M105630
BMW 3 Series,MYDVSEUZTRE522431
Tesla Model 3,SCCH3BLA1AH159181
Chevrolet Malibu,LGHPUSK5WA3153140
Ford Mustang,EMN18GCYN42094594
Tesla Model 3,BUCX5JQ3T89910721
Hyundai Elantra,JZR1ANYV5DF648830
